,country,year,consumption_emissions,effective_parties,general_conscious,federalism_status,development,population,share_green
1,Australia,1990,66.37,-0.540760365,NA,1.444502966,1.029986189,-0.234094182,0
2,Australia,1991,66.55,-0.540760365,NA,1.444502966,1.029986189,-0.232454663,0
3,Australia,1992,67.26,-0.540760365,NA,1.444502966,1.029986189,-0.230997206,0
4,Australia,1993,67.52,-0.762203686,NA,1.444502966,1.029986189,-0.229827543,0
5,Australia,1994,69.81,-0.762203686,0.047870553,1.444502966,1.029986189,-0.228549379,0
6,Australia,1995,71.34,-0.762203686,0.047870553,1.444502966,1.095093136,-0.22705586,0
7,Australia,1996,73.08,-0.608156158,0.047870553,1.444502966,1.095093136,-0.225409024,0
8,Australia,1997,75.14,-0.608156158,0.047870553,1.444502966,1.160200084,-0.223924073,0
9,Australia,1998,80.37,-0.478178557,0.047870553,1.444502966,1.160200084,-0.222541902,0
10,Australia,1999,80.63,-0.478178557,NA,1.444502966,1.160200084,-0.221008944,0
11,Australia,2000,79.2,-0.478178557,NA,1.444502966,1.225307031,-0.219387174,0
12,Australia,2001,81.57,-0.487806527,NA,1.444502966,1.225307031,-0.217545505,0
13,Australia,2002,86.67,-0.487806527,NA,1.444502966,1.225307031,-0.215893995,0
14,Australia,2003,91.36,-0.487806527,NA,1.444502966,1.290413978,-0.214204902,0
15,Australia,2004,94.03,-0.617784129,NA,1.444502966,1.290413978,-0.212617233,0
16,Australia,2005,93.87,-0.617784129,0.357838997,1.444502966,1.290413978,-0.210788872,0
17,Australia,2006,97.25,-0.617784129,0.357838997,1.444502966,1.290413978,-0.208735826,0
18,Australia,2007,100.5,-0.685179922,0.357838997,1.444502966,1.355520926,-0.205914847,0
19,Australia,2008,99.3,-0.685179922,0.357838997,1.444502966,1.355520926,-0.202757431,0
20,Australia,2009,107.74,-0.685179922,0.357838997,1.444502966,1.355520926,-0.199443655,0
21,Australia,2010,108.05,-0.767017672,0.280346886,1.444502966,1.355520926,-0.196896487,0.7
22,Australia,2011,107.61,-0.767017672,0.280346886,1.444502966,1.420627873,-0.194587657,0.7
23,Australia,2012,109.68,-0.767017672,0.280346886,1.444502966,1.420627873,-0.191640967,0.7
24,Australia,2013,103.86,-0.694807893,0.280346886,NA,1.420627873,-0.188685116,0.7
25,Australia,2014,104.13,-0.694807893,0.280346886,NA,1.420627873,-0.186082076,0.7
26,Australia,2015,104.35,-0.694807893,NA,NA,1.420627873,-0.183533319,0.7
27,Australia,2016,101.64,-0.598528188,NA,NA,1.485734821,-0.180725402,0.7
28,Austria,1990,24.37,-0.617784129,NA,1.444502966,0.704451452,-0.30440054,5.5
29,Austria,1991,24.84,-0.617784129,NA,1.444502966,0.769558399,-0.303823539,5.5
30,Austria,1992,25.4,-0.617784129,NA,1.444502966,0.769558399,-0.303180802,5.5
31,Austria,1993,24.31,-0.617784129,NA,1.444502966,0.834665346,-0.302694551,5.5
32,Austria,1994,24.22,-0.280805162,NA,1.444502966,0.899772294,-0.302466233,7.1
33,Austria,1995,25.32,-0.415596749,NA,1.444502966,0.899772294,-0.30237516,4.9
34,Austria,1996,27.49,-0.415596749,NA,1.444502966,0.899772294,-0.30229473,4.9
35,Austria,1997,25.89,-0.415596749,NA,1.444502966,0.964879241,-0.302227144,4.9
36,Austria,1998,26.82,-0.415596749,NA,1.444502966,0.964879241,-0.302161626,4.9
37,Austria,1999,26.35,-0.304875088,NA,1.444502966,1.029986189,-0.302045276,7.7
38,Austria,2000,25.05,-0.304875088,NA,1.444502966,1.029986189,-0.301901162,7.7
39,Austria,2001,26.32,-0.304875088,NA,1.444502966,1.095093136,-0.301671031,7.7
40,Austria,2002,25.93,-0.689993908,NA,1.444502966,1.095093136,-0.301373966,9.3
41,Austria,2003,27.56,-0.689993908,NA,1.444502966,1.095093136,-0.301078384,9.3
42,Austria,2004,28.58,-0.689993908,NA,1.444502966,1.160200084,-0.300699841,9.3
43,Austria,2005,29.15,-0.689993908,NA,1.444502966,1.160200084,-0.300281453,9.3
44,Austria,2006,30.05,-0.357828926,NA,1.444502966,1.160200084,-0.29997579,11.5
45,Austria,2007,28.82,-0.357828926,NA,1.444502966,1.225307031,-0.299774726,11.5
46,Austria,2008,28.29,0.162081481,NA,1.444502966,1.225307031,-0.29957993,10.9
47,Austria,2009,26,0.162081481,NA,1.444502966,1.225307031,-0.299416456,10.9
48,Austria,2010,27.63,0.162081481,NA,1.444502966,1.225307031,-0.299266059,10.9
49,Austria,2011,28.16,0.162081481,NA,1.444502966,1.225307031,-0.299054562,10.9
50,Austria,2012,27.19,0.162081481,NA,1.444502966,1.290413978,-0.298767353,10.9
51,Austria,2013,25.9,0.33538495,NA,NA,1.225307031,-0.298394135,13.1
52,Austria,2014,26.14,0.33538495,NA,NA,1.290413978,-0.297895833,13.1
53,Austria,2015,24.35,0.33538495,NA,NA,1.290413978,-0.297174269,13.1
54,Austria,2016,25.3,0.33538495,NA,NA,1.355520926,-0.296470485,13.1
55,Belgium,1990,42.25,1.765138569,NA,1.444502966,0.704451452,-0.28725303,4.2
56,Belgium,1991,42.47,2.578702076,NA,1.444502966,0.704451452,-0.286975116,8
57,Belgium,1992,47.06,2.578702076,NA,1.444502966,0.769558399,-0.286670501,8
58,Belgium,1993,44.45,2.578702076,NA,1.444502966,0.899772294,-0.286376035,8
59,Belgium,1994,44.21,2.578702076,NA,1.444502966,0.964879241,-0.286142901,8
60,Belgium,1995,45.39,2.357258754,NA,1.444502966,1.029986189,-0.285984063,7.3
61,Belgium,1996,44.92,2.357258754,NA,1.444502966,1.029986189,-0.285835575,7.3
62,Belgium,1997,46.24,2.357258754,NA,1.444502966,1.095093136,-0.285651273,7.3
63,Belgium,1998,49.05,2.357258754,NA,1.444502966,1.095093136,-0.285488278,7.3
64,Belgium,1999,50.57,2.809773368,NA,1.444502966,1.095093136,-0.285312941,13.3
65,Belgium,2000,51.72,2.809773368,NA,1.444502966,1.160200084,-0.285126968,13.3
66,Belgium,2001,51.46,2.809773368,NA,1.444502966,1.160200084,-0.284862437,13.3
67,Belgium,2002,52.79,2.809773368,NA,1.444502966,1.160200084,-0.284516309,13.3
68,Belgium,2003,56.3,2.111745507,NA,1.444502966,1.160200084,-0.284191652,2.7
69,Belgium,2004,59.65,2.111745507,NA,1.444502966,1.225307031,-0.283854593,2.7
70,Belgium,2005,61.7,2.111745507,NA,1.444502966,1.225307031,-0.283424095,2.7
71,Belgium,2006,61.61,2.111745507,NA,1.444502966,1.225307031,-0.282904763,2.7
